id;cnpj_base;cnpj_ordem;cnpj_dv;situacao_data;atividade_inicio;cnae_principal;cep;uf;municipio;cnae_descricao;natureza;capital_social;porte_empresa;natureza_descricao;matchmaking
908460054RJ;77890846;0054;80;2016-12-01;2016-12-01;4632003;21011690;RJ;6001;Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas, com atividade de fracionamento e acondicionamento associada;2143;0.0;demais;Cooperativa;2
561280001RS;26656128;0001;00;2016-12-01;2016-12-01;5211701;98590000;RS;8859;Armazéns gerais - emissão de warrant;2143;32000.0;demais;Cooperativa;2
539820013MG;22753982;0013;69;2016-12-01;2016-12-01;6424703;35700481;MG;5343;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;2
443380044SP;46844338;0044;60;2016-12-01;2016-12-01;4731800;19960000;SP;6297;Comércio varejista de combustíveis para veículos automotores;2143;0.0;demais;Cooperativa;2
061130001SC;26706113;0001;09;2016-12-01;2016-12-01;4744001;89908000;SC;8299;Comércio varejista de ferragens e ferramentas;2143;2850.0;demais;Cooperativa;3
081420001CE;26708142;0001;00;2016-12-01;2016-12-01;8640299;60833163;CE;1389;Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente;2143;19800.0;demais;Cooperativa;2
207130001RO;26720713;0001;13;2016-12-01;2016-12-01;3811400;76987890;RO;0013;Coleta de resíduos não-perigosos;2143;1100.0;demais;Cooperativa;2
290110001SP;26729011;0001;09;2016-12-01;2016-12-01;9499500;06715410;SP;6361;Atividades associativas não especificadas anteriormente;2143;0.0;demais;Cooperativa;2
980640005SP;18398064;0005;81;2016-12-01;2016-12-01;4623101;13500150;SP;6979;Comércio atacadista de animais vivos;2143;4200.0;demais;Cooperativa;2
350450001SP;26735045;0001;06;2016-12-01;2016-12-01;7490103;04511001;SP;7107;Serviços de agronomia e de consultoria às atividades agrícolas e pecuárias;2143;270000.0;demais;Cooperativa;2
333690011SP;60633369;0011;35;2016-12-01;2016-12-01;8630502;14700320;SP;6221;Atividade médica ambulatorial com recursos para realização de exames complementares;2143;0.0;demais;Cooperativa;2
567100001AL;26756710;0001;30;2016-12-01;2016-12-01;3811400;57900000;AL;2845;Coleta de resíduos não-perigosos;2143;20000.0;demais;Cooperativa;2
893070012SP;49389307;0012;78;2016-12-01;2016-12-01;6424703;13290000;SP;6647;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;2
908350001PB;26790835;0001;86;2017-01-01;2017-01-01;8550302;58330000;PB;2059;Atividades de apoio à educação, exceto caixas escolares;2143;6300.0;demais;Cooperativa;2
206960011MG;25420696;0011;08;2017-01-01;2017-01-01;6424703;32260000;MG;4371;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;2
112890001PR;26811289;0001;12;2016-12-01;2016-12-01;8630504;80730000;PR;7535;Atividade odontológica;2143;20000.0;demais;Cooperativa;2
162080001PB;26816208;0001;77;2017-01-01;2017-01-01;0161099;58430406;PB;1981;Atividades de apoio à agricultura não especificadas anteriormente;2143;0.0;demais;Cooperativa;2
284970001MA;26828497;0001;24;2017-01-01;2017-01-01;9430800;65145000;MA;0901;Atividades de associações de defesa de direitos sociais;2143;50000.0;demais;Cooperativa;2
733100002BA;22873310;0002;34;2017-01-01;2017-01-01;0161003;48310000;BA;3659;Serviço de preparação de terreno, cultivo e colheita;2143;2000.0;demais;Cooperativa;2
782180001MG;26878218;0001;37;2017-01-01;2017-01-01;3511501;39508000;MG;2893;Geração de energia elétrica;2143;3600.0;demais;Cooperativa;2
957550033PA;32995755;0033;47;2017-01-01;2017-01-01;6424703;68537000;PA;0048;Cooperativas de crédito mútuo;2143;140509419.97;demais;Cooperativa;2
694860001BA;26969486;0001;64;2017-01-01;2017-01-01;4924800;46900000;BA;3897;Transporte escolar;2143;1000000.0;demais;Cooperativa;2
738890001MA;26973889;0001;87;2017-01-01;2017-01-01;5229001;65968000;MA;0140;Serviços de apoio ao transporte por táxi, inclusive centrais de chamada;2143;5250.0;demais;Cooperativa;2
044200001PA;27004420;0001;00;2017-02-01;2017-02-01;4921301;68470000;PA;0503;Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal;2143;496000.0;demais;Cooperativa;2
090510001AL;27009051;0001;30;2017-02-01;2017-02-01;4924800;57100000;AL;2853;Transporte escolar;2143;0.0;demais;Cooperativa;2
625830001RJ;27062583;0001;31;2019-05-01;2017-02-01;4511101;25071190;RJ;5833;Comércio a varejo de automóveis, camionetas e utilitários novos;2143;200000.0;demais;Cooperativa;2
776460015AL;12277646;0015;03;2017-02-01;2017-02-01;4637102;57062586;AL;2785;Comércio atacadista de açúcar;2143;0.0;demais;Cooperativa;2
010790001RS;27101079;0001;01;2017-02-01;2017-02-01;4930202;96170000;RS;8879;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;2143;23000.0;demais;Cooperativa;2
018740001SP;27101874;0001;91;2017-02-01;2017-02-01;8650001;04046500;SP;7107;Atividades de enfermagem;2143;1600.0;demais;Cooperativa;3
034600001RS;27103460;0001;00;2017-02-01;2017-02-01;4623199;96270000;RS;8751;Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente;2143;4000.0;demais;Cooperativa;2
568160001GO;27156816;0001;65;2017-02-01;2017-02-01;4924800;76390000;GO;9263;Transporte escolar;2143;10000.0;demais;Cooperativa;2
326410001SC;27232641;0001;28;2017-02-01;2017-02-01;4632003;89654000;SC;8007;Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas, com atividade de fracionamento e acondicionamento associada;2143;315750.0;demais;Cooperativa;3
469540001MG;27246954;0001;35;2017-03-01;2017-03-01;4924800;35680604;MG;4675;Transporte escolar;2143;9000.0;demais;Cooperativa;2
596120006SC;80959612;0006;50;2017-03-01;2017-03-01;6424703;89186000;SC;8037;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;2
895300006MG;26189530;0006;28;2017-03-01;2017-03-01;6550200;39100000;MG;4431;Planos de saúde;2143;16800.0;demais;Cooperativa;2
290930001BA;26629093;0001;01;2016-11-01;2016-11-01;8610102;41820021;BA;3849;Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências;2143;2799000.0;demais;Cooperativa;2
680900007RS;88668090;0007;20;2017-04-01;2017-04-01;1066000;97418000;RS;1018;Fabricação de alimentos para animais;2143;0.0;demais;Cooperativa;2
481570001BA;27548157;0001;02;2017-04-01;2017-04-01;8630501;41820021;BA;3849;Atividade médica ambulatorial com recursos para realização de procedimentos cirúrgicos;2143;32000.0;demais;Cooperativa;2
916910001PA;27591691;0001;00;2017-04-01;2017-04-01;1031700;68738000;PA;0531;Fabricação de conservas de frutas;2143;18500.0;demais;Cooperativa;2
052350161RS;83305235;0161;12;2017-04-01;2017-04-01;4683400;99770000;RS;8517;Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo;2143;0.0;demais;Cooperativa;2
077930002DF;10807793;0002;90;2017-04-01;2017-04-01;4921301;71020216;DF;9701;Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal;2143;27800.0;demais;Cooperativa;2
460610003MG;42946061;0003;58;2017-05-01;2017-05-01;8630503;37132018;MG;4031;Atividade médica ambulatorial restrita a consultas;2143;0.0;demais;Cooperativa;1
612810001GO;27661281;0001;80;2017-05-01;2017-05-01;5229001;74215020;GO;9373;Serviços de apoio ao transporte por táxi, inclusive centrais de chamada;2143;2099.79;demais;Cooperativa;2
723310001SE;27672331;0001;24;2017-05-01;2017-05-01;4930201;49820000;SE;3123;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.;2143;40000.0;demais;Cooperativa;2
325980001MT;27732598;0001;60;2017-05-01;2017-05-01;8121400;78890000;MT;9907;Limpeza em prédios e em domicílios;2143;31500.0;demais;Cooperativa;2
405440001BA;27740544;0001;46;2017-05-01;2017-05-01;3811400;40710500;BA;3849;Coleta de resíduos não-perigosos;2143;1200.0;demais;Cooperativa;2
708670001SP;27770867;0001;82;2017-05-01;2017-05-01;2660400;05158240;SP;7107;Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação;2143;540000.0;demais;Cooperativa;2
977890001CE;27797789;0001;00;2017-05-01;2017-05-01;3811400;62115000;CE;1591;Coleta de resíduos não-perigosos;2143;1080.0;demais;Cooperativa;2
363170001SP;27836317;0001;19;2017-05-01;2017-05-01;5611201;07011080;SP;6477;Restaurantes e similares;2143;63284.6;demais;Cooperativa;2
915700001SE;27891570;0001;75;2017-06-01;2017-06-01;7490104;49200000;SE;3141;Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários;2143;2000.0;demais;Cooperativa;2
119230001SE;27911923;0001;51;2017-06-01;2017-06-01;5229001;49075160;SE;3105;Serviços de apoio ao transporte por táxi, inclusive centrais de chamada;2143;18000.0;demais;Cooperativa;2
141030001SP;27914103;0001;13;2017-06-01;2017-06-01;7020400;12209550;SP;7099;Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica;2143;40000.0;demais;Cooperativa;2
154160001BA;27115416;0001;01;2017-02-01;2017-02-01;8121400;45120000;BA;3357;Limpeza em prédios e em domicílios;2143;2875.0;demais;Cooperativa;2
595560001RJ;27959556;0001;66;2017-06-01;2017-06-01;0311601;28230000;RJ;0782;Pesca de peixes em água salgada;2143;59840.0;demais;Cooperativa;2
693460001CE;27969346;0001;59;2017-06-01;2017-06-01;4321500;60125045;CE;1389;Instalação e manutenção elétrica;2143;35000.0;demais;Cooperativa;2
670860019RJ;32467086;0019;82;2017-06-01;2017-06-01;6424703;28080420;RJ;5819;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;2
155820001PE;28015582;0001;07;2020-10-01;2017-06-01;4712100;56395000;PE;0552;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;2143;210000.0;demais;Cooperativa;2
619010004RS;91161901;0004;63;2017-03-01;2017-03-01;5211799;95930000;RS;8621;Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis;2143;0.0;demais;Cooperativa;3
237140001PI;28023714;0001;34;2019-08-01;2017-06-01;7490103;64099899;PI;1219;Serviços de agronomia e de consultoria às atividades agrícolas e pecuárias;2143;10000.0;demais;Cooperativa;2
937950001CE;28093795;0001;49;2017-07-01;2017-07-01;5229001;62940000;CE;1475;Serviços de apoio ao transporte por táxi, inclusive centrais de chamada;2143;1000.0;demais;Cooperativa;2
978860001CE;28097886;0001;52;2017-07-01;2017-07-01;5229001;62738000;CE;1393;Serviços de apoio ao transporte por táxi, inclusive centrais de chamada;2143;1000.0;demais;Cooperativa;2
560360007SP;44456036;0007;45;2017-07-01;2017-07-01;8640299;17015301;SP;6219;Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente;2143;0.0;demais;Cooperativa;2
428220001BA;28142822;0001;26;2017-07-01;2017-07-01;8211300;45300000;BA;3319;Serviços combinados de escritório e apoio administrativo;2143;600000.0;demais;Cooperativa;2
723660021SP;45272366;0021;00;2017-07-01;2017-07-01;6550200;14801170;SP;6163;Planos de saúde;2143;0.0;demais;Cooperativa;2
349750008SC;78834975;0008;89;2017-07-01;2017-07-01;6424703;89245000;SC;8025;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;2
753480003SP;10175348;0003;35;2017-07-01;2017-07-01;6424703;18500000;SP;6629;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;2
771340001MG;28277134;0001;73;2017-07-01;2017-07-01;7112000;33600000;MG;4985;Serviços de engenharia;2143;60480.0;demais;Cooperativa;2
569680061PR;78956968;0061;14;2017-07-01;2017-07-01;4623199;86900000;PR;7635;Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente;2143;56151628.97;demais;Cooperativa;3
452510009GO;17745251;0009;55;2017-07-01;2017-07-01;8650099;76300000;GO;9307;Atividades de profissionais da área de saúde não especificadas anteriormente;2143;1000.0;demais;Cooperativa;2
326140001SP;28332614;0001;90;2017-08-01;2017-08-01;3811400;18401060;SP;6549;Coleta de resíduos não-perigosos;2143;700.0;demais;Cooperativa;3
284930001BA;28428493;0001;84;2017-08-01;2017-08-01;0161099;45000015;BA;3965;Atividades de apoio à agricultura não especificadas anteriormente;2143;4200.0;demais;Cooperativa;2
933170001RS;28493317;0001;26;2017-08-01;2017-08-01;4110700;96010150;RS;8791;Incorporação de empreendimentos imobiliários;2143;5100.0;demais;Cooperativa;1
049990001RR;28504999;0001;25;2019-10-01;2017-08-01;4923001;69345000;RR;0034;Serviço de táxi;2143;13200.0;demais;Cooperativa;2
427000001SP;28542700;0001;27;2017-08-01;2017-08-01;3811400;15996032;SP;6687;Coleta de resíduos não-perigosos;2143;70.0;demais;Cooperativa;2
070460006SC;81607046;0006;80;2017-09-01;2017-09-01;6424703;89226731;SC;8179;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;2
166050001BA;28716605;0001;00;2017-09-01;2017-09-01;1031700;45450000;BA;3523;Fabricação de conservas de frutas;2143;1000.0;demais;Cooperativa;2
064640004RS;26606464;0004;82;2017-09-01;2017-09-01;4711302;99840000;RS;8835;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;2143;0.0;demais;Cooperativa;3
565360001PR;28756536;0001;50;2017-09-01;2017-09-01;4633801;83190000;PR;7925;Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos;2143;6900.0;demais;Cooperativa;2
767120001AP;28776712;0001;16;2017-10-01;2017-10-01;7020400;68900151;AP;0605;Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica;2143;40000.0;demais;Cooperativa;2
617420003AM;22961742;0003;88;2017-10-01;2017-10-01;4922101;69265000;AM;0969;Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana;2143;420000.0;demais;Cooperativa;2
747380008MG;17774738;0008;85;2017-10-01;2017-10-01;8630502;38061080;MG;5401;Atividade médica ambulatorial com recursos para realização de exames complementares;2143;0.0;demais;Cooperativa;2
124810001PB;28812481;0001;59;2017-10-01;2017-10-01;0159801;58823000;PB;0446;Apicultura;2143;11000.0;demais;Cooperativa;2
253640001RJ;28825364;0001;20;2017-10-01;2017-10-01;9001902;22210010;RJ;6001;Produção musical;2143;18000.0;demais;Cooperativa;2
817060006PR;77781706;0006;77;2017-10-01;2017-10-01;8640202;84040120;PR;7777;Laboratórios clínicos;2143;0.0;demais;Cooperativa;3
354130001GO;28935413;0001;87;2017-10-01;2017-10-01;0322101;75865000;GO;9799;Criação de peixes em água doce;2143;20000.0;demais;Cooperativa;2
349930042PR;81034993;0042;92;2017-11-01;2017-11-01;4692300;87920000;PR;7843;Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários;2143;4035812.46;demais;Cooperativa;2
433430001SP;29043343;0001;15;2017-11-01;2017-11-01;3811400;14730000;SP;6731;Coleta de resíduos não-perigosos;2143;1000.0;demais;Cooperativa;3
628890001SP;29062889;0001;13;2017-11-01;2017-11-01;4929901;12927161;SP;6251;Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal;2143;221000.0;demais;Cooperativa;2
701060001GO;29070106;0001;43;2017-11-01;2017-11-01;3811400;72975000;GO;0055;Coleta de resíduos não-perigosos;2143;2000.0;demais;Cooperativa;2
633410017MG;25863341;0017;89;2017-11-01;2017-11-01;4692300;37200000;MG;4763;Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários;2143;0.0;demais;Cooperativa;2
928250001PB;29092825;0001;65;2017-11-01;2017-11-01;3839499;58832000;PB;0490;Recuperação de materiais não especificados anteriormente;2143;15000.0;demais;Cooperativa;2
132110018RS;95213211;0018;67;2017-11-01;2017-11-01;6424703;95552000;RS;0962;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;2
999610007SP;45399961;0007;44;2017-11-01;2017-11-01;8211300;18540000;SP;6913;Serviços combinados de escritório e apoio administrativo;2143;0.0;demais;Cooperativa;2
709840007PR;17970984;0007;21;2017-11-01;2017-11-01;9430800;87690000;PR;7645;Atividades de associações de defesa de direitos sociais;2143;1000.0;demais;Cooperativa;2
427680004AL;35642768;0004;96;2017-12-01;2017-12-01;6550200;57200000;AL;2833;Planos de saúde;2143;0.0;demais;Cooperativa;2
873570074RS;88587357;0074;14;2017-12-01;2017-12-01;1052000;95185000;RS;8593;Fabricação de laticínios;2143;0.0;demais;Cooperativa;2
797970001RO;28879797;0001;68;2017-10-01;2017-10-01;1051100;76914899;RO;0005;Preparação do leite;2143;2100.0;demais;Cooperativa;2
748130001PE;29274813;0001;51;2017-12-01;2017-12-01;0159801;50790640;PE;2531;Apicultura;2143;3000.0;demais;Cooperativa;2
384340002RO;13338434;0002;29;2017-12-01;2017-12-01;7490103;76876520;RO;0007;Serviços de agronomia e de consultoria às atividades agrícolas e pecuárias;2143;3300.0;demais;Cooperativa;2
635740023SP;79063574;0023;74;2017-12-01;2017-12-01;6424703;18900000;SP;7029;Cooperativas de crédito mútuo;2143;500000.0;demais;Cooperativa;2
147180001PR;29314718;0001;34;2017-12-01;2017-12-01;4632001;84435000;PR;0860;Comércio atacadista de cereais e leguminosas beneficiados;2143;1100.0;demais;Cooperativa;2
219220001RS;29321922;0001;82;2017-12-01;2017-12-01;3811400;94380000;RS;8407;Coleta de resíduos não-perigosos;2143;100.0;demais;Cooperativa;2
272170001AL;29327217;0001;92;2020-04-01;2017-12-01;8111700;57020670;AL;2785;Serviços combinados para apoio a edifícios, exceto condomínios prediais;2143;400.0;demais;Cooperativa;2
949410024RS;95594941;0024;01;2018-01-01;2018-01-01;6424703;97070805;RS;8841;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;2
591710001AL;29459171;0001;65;2018-01-01;2018-01-01;8513900;57690000;AL;2707;Ensino fundamental;2143;42000.0;demais;Cooperativa;2
153220001SE;29515322;0001;55;2018-01-01;2018-01-01;9412099;49503423;SE;3157;Outras atividades associativas profissionais;2143;1000.0;demais;Cooperativa;2
052350171RS;83305235;0171;94;2018-01-01;2018-01-01;4683400;99640000;RS;8897;Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo;2143;0.0;demais;Cooperativa;2
679470027SC;85667947;0027;42;2018-01-01;2018-01-01;8230001;88950000;SC;8171;Serviços de organização de feiras, congressos, exposições e festas;2143;0.0;demais;Cooperativa;3
257450001DF;29625745;0001;28;2018-02-01;2018-02-01;3811400;72660168;DF;9701;Coleta de resíduos não-perigosos;2143;0.0;demais;Cooperativa;2
958850001BA;29695885;0001;72;2018-02-01;2018-02-01;8630502;46900000;BA;3897;Atividade médica ambulatorial com recursos para realização de exames complementares;2143;700000.0;demais;Cooperativa;2
600680001GO;29760068;0001;50;2018-02-01;2018-02-01;4724500;75350000;GO;9381;Comércio varejista de hortifrutigranjeiros;2143;23000.0;demais;Cooperativa;2
120230010PA;14112023;0010;93;2018-03-01;2018-03-01;8640202;68503820;PA;0483;Laboratórios clínicos;2143;0.0;demais;Cooperativa;2
435590004MG;66343559;0004;75;2018-03-01;2018-03-01;6550200;39800090;MG;5371;Planos de saúde;2143;0.0;demais;Cooperativa;2
065980004SC;15806598;0004;20;2018-03-01;2018-03-01;4623199;89638000;SC;5563;Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente;2143;7800.0;demais;Cooperativa;2
822680035RS;89982268;0035;29;2018-03-01;2018-03-01;4692300;98450000;RS;8965;Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários;2143;0.0;demais;Cooperativa;3
839010001RJ;29883901;0001;50;2018-03-01;2018-03-01;4520005;20070030;RJ;6001;Serviços de lavagem, lubrificação e polimento de veículos automotores;2143;35000.0;demais;Cooperativa;2
948330001SP;29894833;0001;25;2018-03-01;2018-03-01;4633801;11750000;SP;6853;Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos;2143;6000.0;demais;Cooperativa;2
180780001RS;29918078;0001;71;2018-03-01;2018-03-01;3811400;95580000;RS;7329;Coleta de resíduos não-perigosos;2143;1800.0;demais;Cooperativa;3
713400004PR;95371340;0004;88;2018-03-01;2018-03-01;0161099;85640000;PR;7417;Atividades de apoio à agricultura não especificadas anteriormente;2143;0.0;demais;Cooperativa;3
959990004MS;15395999;0004;35;2018-03-01;2018-03-01;8800600;79823090;MS;9073;Serviços de assistência social sem alojamento;2143;39965335.82;demais;Cooperativa;3
632230174RS;77863223;0174;25;2018-03-01;2018-03-01;4632001;98801285;RS;8853;Comércio atacadista de cereais e leguminosas beneficiados;2143;287997008.16;demais;Cooperativa;3
197570001BA;30019757;0001;98;2018-03-01;2018-03-01;1610203;48290000;BA;3619;Serrarias com desdobramento de madeira em bruto;2143;6250.0;demais;Cooperativa;2
421820001RJ;30042182;0001;24;2018-03-01;2018-03-01;4687701;28470000;RJ;5893;Comércio atacadista de resíduos de papel e papelão;2143;15000.0;demais;Cooperativa;2
992470021SC;88099247;0021;00;2018-03-01;2018-03-01;6424703;89896000;SC;8165;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;3
196090001RJ;29819609;0001;79;2018-03-01;2018-03-01;8591100;28010560;RJ;5819;Ensino de esportes;2143;20000.0;demais;Cooperativa;2
774350001PR;30077435;0001;03;2018-04-01;2018-04-01;4633801;84560000;PR;7817;Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos;2143;1050.0;demais;Cooperativa;2
451440003ES;14645144;0003;71;2018-04-01;2018-04-01;4633801;29280000;ES;5651;Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos;2143;3100.0;demais;Cooperativa;2
230060001SP;30223006;0001;99;2018-04-01;2018-04-01;4633801;09220350;SP;7057;Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos;2143;10500.0;demais;Cooperativa;2
489920001RJ;30248992;0001;31;2018-04-01;2018-04-01;0161099;26600000;RJ;5871;Atividades de apoio à agricultura não especificadas anteriormente;2143;5000.0;demais;Cooperativa;2
499280001RR;30249928;0001;75;2018-04-01;2018-04-01;4923001;69380000;RR;0307;Serviço de táxi;2143;30000.0;demais;Cooperativa;2
753480004SP;10175348;0004;16;2018-04-01;2018-04-01;6424703;18130970;SP;7113;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;3
296370001RO;30329637;0001;97;2018-04-01;2018-04-01;4623199;76968899;RO;0009;Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente;2143;15500.0;demais;Cooperativa;2
039220031SP;44803922;0031;28;2018-05-01;2018-05-01;8630502;13416140;SP;6875;Atividade médica ambulatorial com recursos para realização de exames complementares;2143;0.0;demais;Cooperativa;2
492250014PE;24449225;0014;02;2018-05-01;2018-05-01;8630503;55014000;PE;2381;Atividade médica ambulatorial restrita a consultas;2143;50000.0;demais;Cooperativa;2
679470029RS;85667947;0029;04;2018-05-01;2018-05-01;4692300;95400000;RS;8867;Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários;2143;0.0;demais;Cooperativa;2
661520004GO;13566152;0004;40;2018-05-01;2018-05-01;4771704;75990000;GO;9515;Comércio varejista de medicamentos veterinários;2143;37200.0;demais;Cooperativa;2
229480001MS;30522948;0001;78;2018-05-01;2018-05-01;6202300;79100200;MS;9051;Desenvolvimento e licenciamento de programas de computador customizáveis;2143;10000.0;demais;Cooperativa;2
301800001DF;30530180;0001;84;2018-05-01;2018-05-01;8230001;71980180;DF;9701;Serviços de organização de feiras, congressos, exposições e festas;2143;0.0;demais;Cooperativa;2
734320001GO;30573432;0001;52;2018-05-01;2018-05-01;7490199;73900000;GO;9561;Outras atividades profissionais, científicas e técnicas não especificadas anteriormente;2143;1000.0;demais;Cooperativa;2
136880001ES;30613688;0001;46;2018-06-01;2018-06-01;4930202;29157060;ES;5625;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;2143;960000.0;demais;Cooperativa;2
499760001SP;30749976;0001;22;2018-06-01;2018-06-01;4621400;13770000;SP;6275;Comércio atacadista de café em grão;2143;12000.0;demais;Cooperativa;2
939860001SP;30793986;0001;65;2018-06-01;2018-06-01;4623199;18400970;SP;6549;Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente;2143;34000.0;demais;Cooperativa;2
940560001GO;30794056;0001;26;2018-06-01;2018-06-01;3811400;72887003;GO;0077;Coleta de resíduos não-perigosos;2143;12000.0;demais;Cooperativa;2
518860002MG;21951886;0002;00;2018-06-01;2018-06-01;9499500;32669700;MG;4133;Atividades associativas não especificadas anteriormente;2143;141290.0;demais;Cooperativa;2
712490007PB;35571249;0007;27;2018-07-01;2018-07-01;6424702;58046090;PB;2051;Cooperativas centrais de crédito;2143;0.0;demais;Cooperativa;2
698530006PR;11969853;0006;67;2018-07-01;2018-07-01;6424704;85887000;PR;7699;Cooperativas de crédito rural;2143;3900.0;demais;Cooperativa;2
252700004SC;78825270;0004;71;2018-06-01;2018-06-01;6424703;88780000;SC;8143;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;2
313910006PR;78931391;0006;60;2018-07-01;2018-07-01;6550200;85900010;PR;7927;Planos de saúde;2143;0.0;demais;Cooperativa;2
949030001SP;30894903;0001;24;2020-11-01;2018-07-01;4724500;17039530;SP;6219;Comércio varejista de hortifrutigranjeiros;2143;1000.0;demais;Cooperativa;2
034640001RN;30903464;0001;79;2018-07-01;2018-07-01;4633801;59280000;RN;1741;Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos;2143;4000.0;demais;Cooperativa;2
280030006PR;84828003;0006;12;2018-03-01;2018-03-01;5211701;83212250;PR;7745;Armazéns gerais - emissão de warrant;2143;74142540.92;demais;Cooperativa;3
962310001GO;30996231;0001;68;2018-07-01;2018-07-01;4771704;75810000;GO;9421;Comércio varejista de medicamentos veterinários;2143;15750.0;demais;Cooperativa;2
800920006AL;41180092;0006;20;2018-07-01;2018-07-01;6424703;57200000;AL;2833;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;2
043830221SP;75904383;0221;09;2018-07-01;2018-07-01;4639701;06696100;SP;6551;Comércio atacadista de produtos alimentícios em geral;2143;303060454.0;demais;Cooperativa;2
662860028PR;81466286;0028;17;2018-07-01;2018-07-01;6424703;84025000;PR;7777;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;3
619010005RS;91161901;0005;44;2018-07-01;2018-07-01;1066000;95930000;RS;8621;Fabricação de alimentos para animais;2143;0.0;demais;Cooperativa;3
004820001CE;31100482;0001;85;2018-08-01;2018-08-01;8610101;60160196;CE;1389;Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;2143;36000.0;demais;Cooperativa;2
068690001PB;31206869;0001;10;2018-08-01;2018-08-01;4633801;58324000;PB;2139;Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos;2143;9000.0;demais;Cooperativa;2
238990002MT;70523899;0002;93;2018-08-01;2018-08-01;8640202;78280000;MT;9177;Laboratórios clínicos;2143;0.0;demais;Cooperativa;2
112180007PR;10311218;0007;06;2018-08-01;2018-08-01;6424703;85770000;PR;7805;Cooperativas de crédito mútuo;2143;96000.0;demais;Cooperativa;2
